resume_text,job_role
"Skilled Python developer with experience in Django, Flask, SQL and REST API development.",Python Developer
"Backend engineer proficient in Python, PostgreSQL, Git and building scalable REST APIs.",Python Developer
"Experienced in Python scripting, Flask web apps, SQL databases and version control with Git.",Python Developer
"Data analyst with strong Excel, SQL, Tableau and Power BI skills for business reporting.",Data Analyst
"Proficient in data visualization, statistics, SQL queries and Excel dashboards.",Data Analyst
"Analyzed large datasets using Python, Pandas, SQL and created Power BI reports.",Data Analyst
"Machine learning engineer skilled in TensorFlow, PyTorch, Scikit-learn and deep learning models.",ML Engineer
"Built and deployed ML models using Python, NumPy, Pandas and Scikit-learn.",ML Engineer
"Experience training deep learning models with TensorFlow and Keras for production systems.",ML Engineer
"Front-end developer skilled in HTML, CSS, JavaScript and React for responsive UI design.",Web Developer
"Full stack developer with Node.js, React, JavaScript, HTML and CSS experience.",Web Developer
"Built responsive websites using HTML, CSS, JavaScript and modern React components.",Web Developer
"Data scientist with expertise in Python, R, statistics, machine learning and Pandas.",Data Scientist
"Applied statistical modeling and machine learning using Python, NumPy and Scikit-learn.",Data Scientist
"Skilled in predictive modeling, data visualization, Python and R programming.",Data Scientist
"DevOps engineer experienced with Docker, Kubernetes, AWS and CI/CD pipelines.",DevOps Engineer
"Managed cloud infrastructure on AWS and Azure with Docker and Kubernetes automation.",DevOps Engineer
"Linux systems administrator skilled in Docker, Git and CI/CD deployment pipelines.",DevOps Engineer
"NLP engineer with experience in spaCy, NLTK, text classification and deep learning.",NLP Engineer
"Built NLP pipelines using Python, spaCy and machine learning for text extraction.",NLP Engineer
"Worked on language understanding models using NLTK, spaCy and deep learning frameworks.",NLP Engineer
